Dia;Mes;Ano;Estado;Comunidad;Sitio;Latitud;Longitud;Habitat;Zonificacion;Tipo de protección;ANP;Buzo Monitor;Hora inicial buceo;Hora final buceo;Profundidad inicial (m);Profundidad final (m);Temperatura (°C);Visibilidad (m);Transecto;Genero;Especie;GeneroEspecie;Abundancia
18;6;2012;Quintana Roo;Banco Chinchorro;40 Cañones;18.74508;-87.34768;Arrecife coralino;Pesca;Ninguna;RB Banco Chinchorro;Jose Francisco Puc Torres;ND;ND;6;12;28;ND;6;Strombus;gigas;Strombus gigas;3
19;6;2012;Quintana Roo;Banco Chinchorro;Los Gonzalez;18.58342;-87.4175;Arrecife coralino;No Pesca;Zona núcleo;RB Banco Chinchorro;Jose Francisco Puc Torres;ND;ND;12;12;28;ND;1;Stenopus;hispidus;Stenopus hispidus;1
19;6;2012;Quintana Roo;Banco Chinchorro;Los Gonzalez;18.58342;-87.4175;Arrecife coralino;No Pesca;Zona núcleo;RB Banco Chinchorro;Jose Francisco Puc Torres;ND;ND;12;12;28;ND;1;Diadema;antillarum;Diadema antillarum;5
19;6;2012;Quintana Roo;Banco Chinchorro;Los Gonzalez;18.58342;-87.4175;Arrecife coralino;No Pesca;Zona núcleo;RB Banco Chinchorro;Jose Francisco Puc Torres;ND;ND;12;12;28;ND;1;Tripneustes;esculentus;Tripneustes esculentus;1
19;6;2012;Quintana Roo;Banco Chinchorro;Los Gonzalez;18.58342;-87.4175;Arrecife coralino;No Pesca;Zona núcleo;RB Banco Chinchorro;Jose Francisco Puc Torres;ND;ND;12;12;28;ND;1;Eucidaris;tribuloides;Eucidaris tribuloides;5
19;6;2012;Quintana Roo;Banco Chinchorro;Los Gonzalez;18.58342;-87.4175;Arrecife coralino;No Pesca;Zona núcleo;RB Banco Chinchorro;Jose Francisco Puc Torres;ND;ND;12;12;28;ND;2;Stenopus;hispidus;Stenopus hispidus;1
19;6;2012;Quintana Roo;Banco Chinchorro;Los Gonzalez;18.58342;-87.4175;Arrecife coralino;No Pesca;Zona núcleo;RB Banco Chinchorro;Jose Francisco Puc Torres;ND;ND;12;12;28;ND;2;Diadema;antillarum;Diadema antillarum;2
19;6;2012;Quintana Roo;Banco Chinchorro;Los Gonzalez;18.58342;-87.4175;Arrecife coralino;No Pesca;Zona núcleo;RB Banco Chinchorro;Jose Francisco Puc Torres;ND;ND;12;12;28;ND;2;Tripneustes;esculentus;Tripneustes esculentus;4
19;6;2012;Quintana Roo;Banco Chinchorro;Los Gonzalez;18.58342;-87.4175;Arrecife coralino;No Pesca;Zona núcleo;RB Banco Chinchorro;Jose Francisco Puc Torres;ND;ND;12;12;28;ND;2;Eucidaris;tribuloides;Eucidaris tribuloides;2
19;6;2012;Quintana Roo;Banco Chinchorro;Los Gonzalez;18.58342;-87.4175;Arrecife coralino;No Pesca;Zona núcleo;RB Banco Chinchorro;Jose Francisco Puc Torres;ND;ND;12;12;28;ND;2;Octopus;sp.;Octopus sp.;3
